ID,GSM1489980,GSM1489981,GSM1489982,GSM1489983,GSM1489984,GSM1489985,GSM1489986,GSM1489987,GSM1489988,GSM1489989,GSM1489990,GSM1489991,GSM1489992,GSM1489993,GSM1489994,GSM1489995,GSM1489996,GSM1489997,GSM1489998,GSM1489999,GSM1490000,GSM1490001,GSM1490002,GSM1490003,GSM1490005,GSM1490006,GSM1490007,GSM1490008,GSM1490009,GSM1490010,GSM1490011,GSM1490012,GSM1490013,GSM1490014,GSM1490015
C1orf166,0.304233551,-0.688521862,-0.186191663,0.320949674,-0.216740623,-1.059897423,0.024197141,-0.187678441,-0.342281938,-0.704128742,-0.21847339,-1.869323254,-0.014593552,0.521970332,0.323723346,0.188338265,-0.17887111,-0.176414043,-0.857579947,-0.065148331,-1.125552177,0.170147151,-0.323688507,-0.408946931,-0.677136898,0.100576229,-1.01142633,-0.0578635,0.243966639,-1.101586699,-0.191497833,0.096772224,1.280660629,0.502923667,-0.393959701
C1orf160,0.326795757,-0.504257143,-0.64985007,0.348330796,0.485105395,-1.177444577,-0.180402532,-0.281082779,-0.597467363,-0.928610146,-0.384529114,-2.279223442,0.187543541,0.55215323,0.489710748,0.181689247,0.062264293,0.088278793,-0.659203529,-0.272957325,-0.904183388,-0.431735456,-0.398550481,0.162269294,-0.058972742,0.512901425,-0.279325217,0.168484494,0.398963243,-0.919632614,-0.486970216,-0.0353017,1.059506774,-0.048501447,-0.233762905
C1orf135,0.100966826,1.020425797,0.797565579,-0.222351581,-0.4400011,0.91722548,-0.140884936,0.152581751,-0.665828705,0.921103537,0.623178184,3.043525696,-0.292936295,-1.054980397,0.043716051,-0.299884379,-0.141943738,-0.003384182,0.985016406,-0.014033379,4.652059078,-0.279328108,-0.281040519,0.431042194,-0.25480023,-0.285518259,2.197149038,-0.364060014,-0.038049284,0.713225484,0.17081669,-0.028791515,0.576816499,-0.011292926,0.151806176
C1orf131,0.061293323,0.263810843,0,0.134349272,0.397329003,0.338300258,0.167140618,-0.01926575,0,0,0,0,-0.037340924,0,0,0.08534763,0.077052988,0.039121825,-0.241014004,0.034948401,0.811684787,-0.214906976,0.050272223,0,-0.043558069,0.365573138,0.833093345,0.089543246,-0.026906151,-0.296619743,0,0.058314085,-0.065764315,0.16975601,0
C1orf128,0.51997894,-0.423374057,-0.200102136,-1.119244218,-1.845132709,-2.086447001,-0.770364225,-0.603866994,-1.344763398,-1.506942391,-0.227792963,-1.945842385,0.080093741,-0.087132528,0.585135043,-0.360683322,-0.216088682,0.103031062,-0.202582687,-0.079688698,-1.516529679,0.433608353,-0.679459333,0.487420738,-0.591495097,0.178393289,-0.542285323,-0.596529961,0.246180117,-0.271829039,0,-0.301931322,0.607592463,0.057637211,-0.295424491
C1orf127,0.198968455,-0.948964775,-0.642015815,-0.408905655,-0.031648427,-1.068203926,-0.072523735,-0.094973326,0.301764399,-0.459219754,-0.486919791,0,0.020194303,0.371071339,-0.145383045,0.047495261,-0.138030663,-0.325793445,-0.649086654,-0.565421283,-0.665143609,-0.262288451,-0.319402426,-0.118134379,-0.323456377,-0.017192112,0.007664856,-0.009839003,0.380003065,0,-0.233649015,-0.02727144,0.083049722,0,0.828544021
C1orf146,0.294634491,0.335575968,0.579554856,0.341947854,0.340025574,-0.620808542,-0.093492895,0.32016319,0.426204562,0.123905428,-0.243195921,0.094767049,0.376238465,0.50590688,-0.192341775,0.153060138,0,0,-0.740670621,0,0,-0.04228035,-0.120115168,-0.167722121,-0.514586747,-0.114146948,-1.043922901,0.079418302,0.151864365,-0.375288397,0.191839129,0.506966889,0,0.562015712,1.292068362
C1orf144,-0.139671266,-0.467507452,-0.652862191,-0.570118189,-1.029275179,-0.941339374,-0.603999257,-0.651795924,-0.762602031,-1.70100987,-0.13387531,-1.590858221,-0.54452318,-0.601008415,0.076669142,0.178355813,0.022394465,-0.065897807,-0.850646734,-0.155774713,-0.713344753,-0.449751854,-0.695492923,0.039245013,-0.9526788,-0.294943869,-1.323181152,-0.22356315,0.023678456,-0.924289942,-0.709798515,-0.128385663,0.316508949,-0.168092877,-0.837446749
C1orf142,-0.300269246,-0.720266342,-0.718838394,0.081803747,-0.369095176,0.098172963,-0.178166702,-0.187252805,-0.423804313,-0.617644727,-0.70731473,-1.155468702,-0.261553973,-0.250988394,-0.077945113,0.264756322,-0.128840432,-0.1273074,-0.440947682,-0.163682908,0.097097956,-0.053007126,-0.177834317,0.038676549,-0.579712391,-0.023174763,-0.228229105,0.173240423,-0.147693813,-0.584385931,-0.282164693,-0.090657219,0.211369395,-0.123840362,-0.58002454
C1orf141,0.056258731,-0.073405527,0.050800052,-0.173579007,0.04267038,-0.209558144,-0.436705768,-0.241605192,0.070366159,0,-0.528566718,0,-0.128115907,0,-0.401203573,-0.195598513,0.268117547,-0.171731323,-0.295300722,0.063915394,0.730622649,-0.187585667,-0.119497143,0,-0.220654219,-0.029301792,-0.27589491,0.028593412,0.134616181,-0.294744402,0.008588464,0.010426073,0.388437986,0.363254458,0.220598459
